15	116	0.0216765453006
21	119	256.0
21	244	256.0
22	242	0.0216765453006
38	193	256.0
38	194	256.0
41	60	256.0
75	247	256.0
82	158	256.0
82	159	256.0
83	159	0.0216765453006
83	160	256.0
84	158	256.0
87	159	256.0
106	200	256.0
107	200	256.0
108	200	256.0
111	84	0.0216765453006
111	85	0.0216765453006
111	201	0.0216765453006
111	209	256.0
112	84	256.0
112	201	256.0
113	83	256.0
114	79	256.0
114	83	256.0
115	80	256.0
115	81	256.0
115	82	256.0
143	243	256.0
143	244	0.0216765453006
144	242	256.0
144	244	256.0
145	244	0.0216765453006
164	51	256.0
167	49	256.0
170	47	256.0
175	210	256.0
176	206	0.0216765453006
176	208	256.0
176	209	256.0
202	167	256.0
202	168	256.0
224	182	256.0
225	181	256.0
