36	112	0.0216765453006
37	111	256.0
62	52	256.0
62	55	256.0
62	56	256.0
63	56	0.0216765453006
79	204	0.0216765453006
80	204	256.0
81	203	256.0
82	135	256.0
82	169	256.0
83	169	0.0216765453006
84	133	256.0
98	117	256.0
99	118	256.0
100	118	0.0216765453006
101	119	0.0216765453006
104	120	256.0
105	121	256.0
106	122	256.0
107	122	256.0
108	122	256.0
109	99	256.0
110	99	256.0
110	101	0.0216765453006
111	100	256.0
116	248	256.0
124	47	0.0216765453006
125	45	256.0
125	46	0.0216765453006
155	20	256.0
156	20	256.0
157	19	0.0216765453006
158	3	256.0
160	169	256.0
182	187	256.0
182	254	0.0216765453006
182	255	0.0216765453006
185	187	256.0
187	187	256.0
188	186	256.0
190	240	256.0
192	238	0.0216765453006
192	239	256.0
192	240	256.0
193	237	256.0
194	46	256.0
195	44	256.0
195	45	256.0
195	235	256.0
196	43	256.0
197	42	256.0
198	41	256.0
199	40	256.0
202	37	256.0
203	36	256.0
219	196	256.0
220	194	256.0
220	195	256.0
221	223	256.0
224	189	0.0216765453006
224	190	256.0
225	188	256.0
226	186	256.0
227	186	256.0
236	78	256.0
236	79	256.0
237	79	0.0216765453006
237	80	256.0
238	84	0.0216765453006
