0	198	256.0
4	204	256.0
5	85	256.0
5	204	0.0216765453006
5	205	256.0
24	217	256.0
24	218	256.0
25	218	0.0216765453006
51	244	256.0
74	119	256.0
75	119	256.0
76	119	256.0
79	119	0.0216765453006
80	88	0.0216765453006
80	90	256.0
83	90	256.0
84	90	256.0
85	120	0.0216765453006
86	90	256.0
86	120	256.0
87	90	256.0
87	222	0.0216765453006
88	91	256.0
88	120	256.0
89	91	256.0
109	68	256.0
109	69	256.0
118	220	0.0216765453006
198	40	256.0
214	89	0.0216765453006
214	90	256.0
215	88	256.0
233	207	256.0
